         4930424 function calls (4927563 primitive calls) in 11.058 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:536(_code_to_timestamp_pyc)
      279    0.000    0.000    0.001    0.000 fake_fastnumbers.py:27(fast_float)
        1    0.001    0.001    0.001    0.001 datetime.py:1509(datetime)
      142    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
       51    0.000    0.000    0.001    0.000 typing.py:603(__init__)
     1486    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.001    0.001 locale_help.py:6(<module>)
        1    0.000    0.000    0.001    0.001 serialposix.py:30(<module>)
     1547    0.001    0.000    0.001    0.000 zmq_client.py:111(name)
       62    0.000    0.000    0.001    0.000 enum.py:836(__and__)
        1    0.000    0.000    0.001    0.001 bz2.py:5(<module>)
       24    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.001    0.001 importhandler.py:40(<module>)
      182    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
       10    0.001    0.000    0.001    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
       24    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
      163    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0xa26aa0}
      237    0.000    0.000    0.001    0.000 __init__.py:1614(isEnabledFor)
        1    0.000    0.000    0.000    0.000 fake_fastnumbers.py:6(<module>)
      574    0.000    0.000    0.000    0.000 {built-in method _locale.strxfrm}
      991    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      106    0.000    0.000    0.000    0.000 {built-in method fromkeys}
     1682    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      243    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
       17    0.000    0.000    0.000    0.000 {built-in method marshal.dumps}
        1    0.000    0.000    0.000    0.000 encoder.py:2(<module>)
      104    0.000    0.000    0.000    0.000 re.py:170(match)
        7    0.000    0.000    0.000    0.000 argparse.py:1337(add_argument)
       19    0.000    0.000    0.000    0.000 abc.py:125(__new__)
      117    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:105(_write_atomic)
      243    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
        1    0.000    0.000    0.000    0.000 ntpath.py:6(<module>)
      990    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
      124    0.000    0.000    0.000    0.000 enum.py:70(__setitem__)
       38    0.000    0.000    0.000    0.000 typing.py:1193(_alias)
        1    0.000    0.000    0.000    0.000 csv.py:4(<module>)
      406    0.000    0.000    0.000    0.000 typing.py:704(__setattr__)
        1    0.000    0.000    0.000    0.000 __main__.py:59(__init__)
        1    0.000    0.000    0.000    0.000 zmq_client.py:1539(saveState)
     3044    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:62(<module>)
        1    0.000    0.000    0.000    0.000 context.py:212(socket)
        2    0.000    0.000    0.000    0.000 {method 'setSourceModel' of 'PySide2.QtCore.QSortFilterProxyModel' objects}
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
        1    0.000    0.000    0.000    0.000 socket.py:58(__init__)
        3    0.000    0.000    0.000    0.000 posixpath.py:391(realpath)
      182    0.000    0.000    0.000    0.000 utils.py:115(_args_to_enum)
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
        1    0.000    0.000    0.000    0.000 csv.py:7(__init__)
       61    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      101    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
        1    0.000    0.000    0.000    0.000 pickle.py:181(<listcomp>)
        1    0.000    0.000    0.000    0.000 lzma.py:9(<module>)
     4539    0.000    0.000    0.000    0.000 {method 'casefold' of 'str' objects}
        1    0.000    0.000    0.000    0.000 crcmod.py:36(<module>)
        3    0.000    0.000    0.000    0.000 gettext.py:639(gettext)
        3    0.000    0.000    0.000    0.000 gettext.py:600(dgettext)
    14/13    0.000    0.000    0.000    0.000 typing.py:248(inner)
       26    0.000    0.000    0.000    0.000 zmq_client.py:171(typeName)
        3    0.000    0.000    0.000    0.000 gettext.py:529(translation)
      182    0.000    0.000    0.000    0.000 locale.py:50(dumb_sort)
      178    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
     3396    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      252    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
        1    0.000    0.000    0.000    0.000 copy.py:49(<module>)
      758    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
      707    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
      392    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        3    0.000    0.000    0.000    0.000 argparse.py:1256(__init__)
      182    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
        3    0.000    0.000    0.000    0.000 gettext.py:474(find)
        7    0.000    0.000    0.000    0.000 argparse.py:2475(_get_formatter)
        3    0.000    0.000    0.000    0.000 posixpath.py:400(_joinrealpath)
        7    0.000    0.000    0.000    0.000 argparse.py:168(__init__)
      168    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
      329    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
    80/58    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 stdio2zmq.py:19(<module>)
       14    0.000    0.000    0.000    0.000 hashlib.py:116(__get_openssl_constructor)
     1220    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      507    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
        1    0.000    0.000    0.000    0.000 argparse.py:1763(parse_args)
        1    0.000    0.000    0.000    0.000 argparse.py:1770(parse_known_args)
       41    0.000    0.000    0.000    0.000 zmq_client.py:498(_format_set)
      182    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
       17    0.000    0.000    0.000    0.000 {built-in method posix.open}
        1    0.000    0.000    0.000    0.000 unicode_numbers.py:180(<listcomp>)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 argparse.py:1805(_parse_known_args)
        1    0.000    0.000    0.000    0.000 contextlib.py:107(__enter__)
        2    0.000    0.000    0.000    0.000 (builtin):79(ensure_shibokensupport)
      461    0.000    0.000    0.000    0.000 utils.py:340(<genexpr>)
        8    0.000    0.000    0.000    0.000 enum.py:177(<setcomp>)
       91    0.000    0.000    0.000    0.000 natsort.py:138(natsort_keygen)
      159    0.000    0.000    0.000    0.000 enum.py:376(__setattr__)
      492    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
      134    0.000    0.000    0.000    0.000 enum.py:526(__new__)
      302    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
      101    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
       63    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
       61    0.000    0.000    0.000    0.000 posixpath.py:75(join)
        2    0.000    0.000    0.000    0.000 util.py:73(find_spec)
      492    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
        2    0.000    0.000    0.000    0.000 argparse.py:1873(consume_optional)
       92    0.000    0.000    0.000    0.000 sre_parse.py:343(_escape)
      406    0.000    0.000    0.000    0.000 typing.py:590(_is_dunder)
       73    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
      134    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       67    0.000    0.000    0.000    0.000 zmq_client.py:531(formats)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
        1    0.000    0.000    0.000    0.000 locale.py:2(<module>)
      220    0.000    0.000    0.000    0.000 constants.py:54(_add_constant)
        8    0.000    0.000    0.000    0.000 hashlib.py:73(__get_builtin_constructor)
      182    0.000    0.000    0.000    0.000 {method 'swapcase' of 'str' objects}
        2    0.000    0.000    0.000    0.000 argparse.py:2080(_match_argument)
      357    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
